Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
123,tt1650516,2014-02-19,2014-02-19,,Dead Genesis,https://www.imdb.com/title/tt1650516/,movie,3.5,98,2010,"Action, Horror, Thriller",536,2010-04-17,Reese Eveneshen
124,tt0090094,2014-02-19,2014-02-19,,The Stuff,https://www.imdb.com/title/tt0090094/,movie,5.9,87,1985,"Comedy, Horror, Sci-Fi",17088,1985-03-30,Larry Cohen
125,tt1031280,2014-02-19,2014-02-19,,Splinter,https://www.imdb.com/title/tt1031280/,movie,6.1,82,2008,"Crime, Horror, Sci-Fi, Thriller",38909,2008-10-31,Toby Wilkins
126,tt0057295,2014-02-19,2014-02-19,,Matango,https://www.imdb.com/title/tt0057295/,movie,6.4,89,1963,"Horror, Mystery, Sci-Fi, Thriller",3292,1963-08-11,Ishirô Honda
127,tt1038988,2014-02-19,2014-02-19,,[Rec],https://www.imdb.com/title/tt1038988/,movie,7.4,78,2007,"Horror, Mystery, Thriller",185072,2007-08-29,"Jaume Balagueró, Paco Plaza"
128,tt0089013,2014-02-19,2014-02-19,,Dèmoni,https://www.imdb.com/title/tt0089013/,movie,6.6,88,1985,Horror,24624,1985-10-04,Lamberto Bava
129,tt1705134,2014-02-19,2014-02-19,,State of Emergency,https://www.imdb.com/title/tt1705134/,movie,5.2,90,2011,"Horror, Sci-Fi, Thriller",3084,2011-10-05,Turner Clay
130,tt1583356,2014-02-19,2014-02-19,,Rammbock,https://www.imdb.com/title/tt1583356/,movie,6.3,63,2010,"Action, Drama, Horror, Sci-Fi, Thriller",5767,2010-01-19,Marvin Kren
131,tt1928123,2014-02-19,2014-02-19,,Before Dawn,https://www.imdb.com/title/tt1928123/,movie,4.8,82,2013,Horror,846,2013-02-02,Dominic Brunt
132,tt1082868,2014-02-19,2014-02-19,,Quarantine,https://www.imdb.com/title/tt1082868/,movie,5.9,89,2008,"Horror, Sci-Fi, Thriller",74789,2008-10-10,John Erick Dowdle
133,tt0289043,2014-02-19,2014-02-19,,28 Days Later...,https://www.imdb.com/title/tt0289043/,movie,7.5,113,2002,"Drama, Horror, Sci-Fi, Thriller",421139,2002-11-01,Danny Boyle
134,tt0076590,2014-02-19,2014-02-19,,Rabid,https://www.imdb.com/title/tt0076590/,movie,6.3,91,1977,"Horror, Sci-Fi",19930,1977-04-08,David Cronenberg
135,tt0087796,2014-02-19,2014-02-19,,Night Shadows,https://www.imdb.com/title/tt0087796/,movie,5.0,99,1984,"Horror, Sci-Fi, Thriller",2573,1984-07-06,"Mark Rosman, John 'Bud' Cardos"
136,tt2081438,2014-02-19,2014-02-19,,Zombie Massacre,https://www.imdb.com/title/tt2081438/,movie,2.4,91,2013,"Action, Horror, Sci-Fi",1855,2013-07-01,"Luca Boni, Marco Ristori"
137,tt2446502,2014-02-19,2014-02-19,,Zombie Hunter,https://www.imdb.com/title/tt2446502/,movie,3.5,93,2013,"Action, Comedy, Horror",2750,2013-07-26,K. King
138,tt0117433,2014-02-19,2014-02-19,,The Rage,https://www.imdb.com/title/tt0117433/,movie,4.5,93,1997,"Action, Thriller",585,1997-06-25,Sidney J. Furie
